text,label
dear @verizonsupport your service is so poor in dallas... no internet at all.,negative
@verizonsupport ive sent you a dm,neutral
thanks to michelle at @verizonsupport who solved my issue. great help!,positive
this update ruined my battery life,negative
shipping was fast and the phone works perfectly,positive
the app keeps crashing after login,negative
order arrived. setting it up now.,neutral
customer service was kind and fixed everything,positive
"meh, it's okay. nothing special.",neutral
worst purchase this year,negative
checking out the new update #service,neutral
super happy with my purchase #update,positive
nothing special so far #product,neutral
love the new features! #support,positive
will update later #support,neutral
nothing special so far,neutral
very disappointed #update,negative
great customer service,positive
super happy with my purchase,positive
customer service was rude #update,negative
worst update ever,negative
product works like a charm,positive
customer service was rude,negative
will update later,neutral
very disappointed #update,negative
super happy with my purchase,positive
super happy with my purchase,positive
battery drains too fast,negative
still waiting for my order,negative
amazing experience overall,positive
checking out the new update,neutral
highly recommend this brand,positive
product works like a charm,positive
nothing special so far #service,neutral
super happy with my purchase,positive
not worth the money #support,negative
got the package today #product,neutral
delivery was delayed #support,negative
highly recommend this brand,positive
will update later,neutral
exploring the features,neutral
highly recommend this brand,positive
excellent support from the team #support,positive
exploring the features,neutral
not worth the money,negative
support team is unresponsive #review,negative
excellent support from the team,positive
trying the app now,neutral
customer service was rude #support,negative
"terrible experience, won't buy again",negative
trying the app now,neutral
highly recommend this brand,positive
trying the app now,neutral
will update later #service,neutral
highly recommend this brand,positive
just received my order,neutral
"terrible experience, won't buy again #service",negative
app is full of bugs #review,negative
excellent support from the team,positive
highly recommend this brand,positive
product works like a charm,positive
amazing experience overall,positive
exploring the features,neutral
setup in progress,neutral
worst update ever,negative
sent an email to support #support,neutral
thank you for resolving my issue quickly #review,positive
very satisfied #update,positive
just received my order #update,neutral
customer service was rude,negative
delivery was delayed #support,negative
will update later,neutral
product works like a charm,positive
excellent support from the team #product,positive
not worth the money,negative
just received my order,neutral
checking out the new update #service,neutral
super happy with my purchase #review,positive
still waiting for my order,negative
delivery was delayed #update,negative
support team is unresponsive #review,negative
excellent support from the team,positive
fast delivery and great quality,positive
app is full of bugs,negative
fast delivery and great quality,positive
battery drains too fast,negative
battery drains too fast,negative
nothing special so far,neutral
still waiting for my order #support,negative
very satisfied,positive
thank you for resolving my issue quickly #review,positive
support team is unresponsive,negative
waiting for response from support #review,neutral
fast delivery and great quality #update,positive
setup in progress,neutral
setup in progress,neutral
very satisfied #review,positive
nothing special so far,neutral
app is full of bugs,negative
app is full of bugs #support,negative
trying the app now,neutral
love the new features!,positive
checking out the new update #support,neutral
trying the app now #service,neutral
super happy with my purchase,positive
product works like a charm,positive
trying the app now,neutral
nothing special so far #review,neutral
customer service was rude,negative
amazing experience overall #update,positive
nothing special so far #service,neutral
setup in progress,neutral
amazing experience overall,positive
"terrible experience, won't buy again #product",negative
"terrible experience, won't buy again #support",negative
trying the app now #product,neutral
exploring the features,neutral
excellent support from the team,positive
waiting for response from support,neutral
very disappointed,negative
still waiting for my order #service,negative
thank you for resolving my issue quickly #support,positive
checking out the new update,neutral
exploring the features,neutral
waiting for response from support,neutral
fast delivery and great quality,positive
great customer service #service,positive
app is full of bugs #update,negative
"terrible experience, won't buy again",negative
super happy with my purchase,positive
worst update ever,negative
super happy with my purchase #support,positive
worst update ever #update,negative
worst update ever,negative
support team is unresponsive,negative
excellent support from the team,positive
still waiting for my order,negative
"terrible experience, won't buy again #product",negative
worst update ever,negative
checking out the new update,neutral
setup in progress #product,neutral
highly recommend this brand,positive
setup in progress,neutral
thank you for resolving my issue quickly,positive
checking out the new update,neutral
support team is unresponsive,negative
worst update ever,negative
support team is unresponsive #product,negative
exploring the features,neutral
very satisfied,positive
support team is unresponsive,negative
battery drains too fast #review,negative
got the package today,neutral
app is full of bugs,negative
waiting for response from support,neutral
support team is unresponsive,negative
got the package today #support,neutral
trying the app now #support,neutral
love the new features! #product,positive
checking out the new update,neutral
will update later #product,neutral
not worth the money #update,negative
great customer service #review,positive
"terrible experience, won't buy again",negative
product works like a charm #product,positive
nothing special so far,neutral
got the package today,neutral
very disappointed,negative
exploring the features,neutral
sent an email to support,neutral
sent an email to support,neutral
amazing experience overall,positive
sent an email to support,neutral
delivery was delayed #service,negative
amazing experience overall,positive
checking out the new update #support,neutral
still waiting for my order,negative
great customer service,positive
sent an email to support,neutral
great customer service,positive
just received my order,neutral
exploring the features,neutral
battery drains too fast,negative
support team is unresponsive,negative
will update later,neutral
app is full of bugs #product,negative
great customer service,positive
exploring the features,neutral
still waiting for my order,negative
just received my order,neutral
will update later,neutral
great customer service #product,positive
love the new features! #service,positive
product works like a charm,positive
battery drains too fast,negative
battery drains too fast,negative
"terrible experience, won't buy again",negative
thank you for resolving my issue quickly #update,positive
just received my order,neutral
super happy with my purchase,positive
waiting for response from support #product,neutral
checking out the new update,neutral
product works like a charm,positive
still waiting for my order,negative
checking out the new update,neutral
amazing experience overall #update,positive
very disappointed,negative
not worth the money,negative
excellent support from the team,positive
setup in progress #service,neutral
will update later,neutral
just received my order,neutral
worst update ever #service,negative
great customer service,positive
great customer service,positive
sent an email to support,neutral
still waiting for my order,negative
trying the app now,neutral
sent an email to support,neutral
will update later #support,neutral
amazing experience overall,positive
product works like a charm,positive
exploring the features,neutral
worst update ever #support,negative
battery drains too fast,negative
trying the app now,neutral
setup in progress #product,neutral
support team is unresponsive,negative
sent an email to support,neutral
delivery was delayed,negative
amazing experience overall #support,positive
very disappointed,negative
nothing special so far,neutral
nothing special so far,neutral
sent an email to support #service,neutral
excellent support from the team,positive
customer service was rude,negative
waiting for response from support #product,neutral
very disappointed,negative
will update later #update,neutral
amazing experience overall #support,positive
"terrible experience, won't buy again",negative
amazing experience overall #update,positive
trying the app now,neutral
product works like a charm #update,positive
trying the app now,neutral
worst update ever #update,negative
delivery was delayed #update,negative
delivery was delayed #update,negative
fast delivery and great quality,positive
customer service was rude,negative
highly recommend this brand,positive
will update later,neutral
highly recommend this brand,positive
battery drains too fast,negative
battery drains too fast,negative
very satisfied,positive
super happy with my purchase,positive
customer service was rude #support,negative
checking out the new update #product,neutral
very disappointed,negative
super happy with my purchase #service,positive
sent an email to support #support,neutral
very disappointed,negative
great customer service #support,positive
waiting for response from support,neutral
excellent support from the team #service,positive
will update later,neutral
customer service was rude,negative
not worth the money,negative
nothing special so far,neutral
very satisfied #product,positive
got the package today,neutral
excellent support from the team #review,positive
just received my order,neutral
trying the app now,neutral
product works like a charm,positive
battery drains too fast #review,negative
delivery was delayed,negative
worst update ever,negative
customer service was rude,negative
not worth the money,negative
not worth the money,negative
just received my order,neutral
battery drains too fast,negative
support team is unresponsive,negative
highly recommend this brand,positive
super happy with my purchase,positive
sent an email to support,neutral
super happy with my purchase #support,positive
delivery was delayed,negative
customer service was rude #review,negative
fast delivery and great quality,positive
highly recommend this brand,positive
excellent support from the team,positive
fast delivery and great quality,positive
trying the app now,neutral
not worth the money,negative
app is full of bugs,negative
great customer service #review,positive
